Variable,condition,median_importance,sd_importance
location,AU After,0.18973889564860968,0.004174803279432158
i11_health_num,AU After,0.1800086901296779,0.0030504053155818263
week_num,AU After,0.17527052420694544,0.0036909805997568097
age,AU After,0.15182762733389074,0.003073204195299169
PHQ4_total,AU After,0.10977610768789986,0.0027775668234548525
i9_health_num,AU After,0.10544535460206986,0.005224742234328334
cantril_ladder,AU After,0.09605269815424908,0.0025912206539277136
gov_handling_num,AU After,0.09350507340192415,0.004422153202484788
household_size,AU After,0.08857441204591882,0.0033510280100031197
gender,AU After,0.08171726301719087,0.006824492165787179
employment_status,AU After,0.08005135300254457,0.0029231802610864064
gov_trust_num,AU After,0.0762954308699827,0.004066308492926948
