Variable,condition,median_importance,sd_importance
location,AU Before,0.1306336192471657,0.0027888349703931305
week_num,AU Before,0.09549711913947159,0.002056309905018892
age,AU Before,0.08755004089727095,0.0018308856187279636
PHQ4_total,AU Before,0.06708884893644264,0.002038338808275461
i11_health_num,AU Before,0.05940602274728801,0.002879879978935454
cantril_ladder,AU Before,0.056622631047195005,0.0016434373049063675
household_size,AU Before,0.050672790204559455,0.0018735411303466157
gov_handling_num,AU Before,0.0487356324523838,0.002507336041237314
i9_health_num,AU Before,0.046263192946113946,0.0027541257107546353
employment_status,AU Before,0.04123777905806551,0.0012695877500595524
gender,AU Before,0.04103451742978488,0.003060149903256164
gov_trust_num,AU Before,0.03229567194537118,0.0016241292087649664
