Variable,condition,median_importance,sd_importance
week_num,UK After,0.22112713863502476,0.002900206137840818
i11_health_num,UK After,0.2100727226052494,0.0019231265616985785
age,UK After,0.19478500246996064,0.003070060657240789
gender,UK After,0.14003861882506222,0.002321553661684046
location,UK After,0.13686212375435935,0.0025476909013853327
PHQ4_total,UK After,0.13505866010043738,0.002806773798227582
i9_health_num,UK After,0.1346327882730368,0.0029303132256102388
gov_trust_num,UK After,0.11696196652729512,0.004910311544862373
cantril_ladder,UK After,0.1116673129331151,0.002141596332684573
household_size,UK After,0.09082853553509743,0.002704134038706823
gov_handling_num,UK After,0.09080925290676667,0.0023538466218538624
employment_status,UK After,0.0903429640169178,0.002712415342031722
