Variable,condition,median_importance,sd_importance
week_num,UK Before,0.04160099865575913,0.003152530704244271
age,UK Before,0.03368457087303757,0.0029638282703927372
gender,UK Before,0.02973747489281724,0.002750321623250186
PHQ4_total,UK Before,0.025878155473458366,0.002615644877975378
i11_health_num,UK Before,0.025579057862246835,0.0026689875367805712
location,UK Before,0.02490469252364691,0.0027523705354483585
cantril_ladder,UK Before,0.020249073166850852,0.001989862015029759
gov_handling_num,UK Before,0.015209238029620003,0.0017182343205812303
employment_status,UK Before,0.015033879051390187,0.0018455488366608541
household_size,UK Before,0.0149855014270298,0.0018026857066006327
gov_trust_num,UK Before,0.01329559474870318,0.0015533641586325682
i9_health_num,UK Before,0.0071980313810767645,0.0013210748830271672
