Variable,condition,median_importance,sd_importance,rank
location,AU After,0.18973889564860968,0.004174803279432158,1
i11_health_num,AU After,0.1800086901296779,0.0030504053155818263,2
week_num,AU After,0.17527052420694544,0.0036909805997568097,3
age,AU After,0.15182762733389074,0.003073204195299169,4
PHQ4_total,AU After,0.10977610768789986,0.0027775668234548525,5
i9_health_num,AU After,0.10544535460206986,0.005224742234328334,6
cantril_ladder,AU After,0.09605269815424908,0.0025912206539277136,7
gov_handling_num,AU After,0.09350507340192415,0.004422153202484788,8
household_size,AU After,0.08857441204591882,0.0033510280100031197,9
gender,AU After,0.08171726301719087,0.006824492165787179,10
location,AU Before,0.1306336192471657,0.0027888349703931305,1
week_num,AU Before,0.09549711913947159,0.002056309905018892,2
age,AU Before,0.08755004089727095,0.0018308856187279636,3
PHQ4_total,AU Before,0.06708884893644264,0.002038338808275461,4
i11_health_num,AU Before,0.05940602274728801,0.002879879978935454,5
cantril_ladder,AU Before,0.056622631047195005,0.0016434373049063675,6
household_size,AU Before,0.050672790204559455,0.0018735411303466157,7
gov_handling_num,AU Before,0.0487356324523838,0.002507336041237314,8
i9_health_num,AU Before,0.046263192946113946,0.0027541257107546353,9
employment_status,AU Before,0.04123777905806551,0.0012695877500595524,10
week_num,UK After,0.22112713863502476,0.002900206137840818,1
i11_health_num,UK After,0.2100727226052494,0.0019231265616985785,2
age,UK After,0.19478500246996064,0.003070060657240789,3
gender,UK After,0.14003861882506222,0.002321553661684046,4
location,UK After,0.13686212375435935,0.0025476909013853327,5
PHQ4_total,UK After,0.13505866010043738,0.002806773798227582,6
i9_health_num,UK After,0.1346327882730368,0.0029303132256102388,7
gov_trust_num,UK After,0.11696196652729512,0.004910311544862373,8
cantril_ladder,UK After,0.1116673129331151,0.002141596332684573,9
household_size,UK After,0.09082853553509743,0.002704134038706823,10
week_num,UK Before,0.04160099865575913,0.003152530704244271,1
age,UK Before,0.03368457087303757,0.0029638282703927372,2
gender,UK Before,0.02973747489281724,0.002750321623250186,3
PHQ4_total,UK Before,0.025878155473458366,0.002615644877975378,4
i11_health_num,UK Before,0.025579057862246835,0.0026689875367805712,5
location,UK Before,0.02490469252364691,0.0027523705354483585,6
cantril_ladder,UK Before,0.020249073166850852,0.001989862015029759,7
gov_handling_num,UK Before,0.015209238029620003,0.0017182343205812303,8
employment_status,UK Before,0.015033879051390187,0.0018455488366608541,9
household_size,UK Before,0.0149855014270298,0.0018026857066006327,10
